Name,Region,Scientific Name,Sun Exposure,Rating
Winged Euonymus or Burningbush,0,Euonymus alatus,"sun, partial sun",6.00
Banana,0,Musa x paradisiaca,"sun, partial sun",6.00
New Guinea Hybrid Impatiens,0,Impatiens,shade,6.00
"Impatiens, Sultana, or Busy Lizzy",0,Impatiens wallerana,shade,6.00
Blue Daze,0,Evolvulus nuttallianus,"sun, partial sun",6.00
Apple,0,Malus x domestica,sun,6.00
Flowering Crabapples,0,Malus spp.,sun,6.00
Barbados Cherry,0,Malpighia glabra,"sun, partial sun",6.00
Leatherleaf Mahonia,0,Mahonia bealei,shade,6.00
Saucer Magnolia,0,Magnolia x soulangiana,"sun, partial sun",6.00
Euryops Daisy,0,Euryops pectinatus,"sun, partial sun",6.00
English Walnut,0,Juglans regia,sun,6.00
Split-Leaf Philodendron,0,Philodendron selloum,"partial sun, shade",6.00
Canary Island Date Palm,0,Phoenix canariensis,sun,6.00
American Holly,0,Ilex opaca,"sun, partial sun",6.00
Climbing Fig or Creeping Fig,0,Ficus pumila,"sun, partial sun, shade",6.00
Japanese Barberry,0,Berberis thunbergii,"sun, partial sun",6.00
Eastern Redbud,0,Cercis canadensis var. canadensis,sun,6.00
Maki or Japanese Yew,0,Podocarpus macrophyllus var. maki,"sun, partial sun, shade",6.00
Coleus or Painted Nettle,0,Coleus x hybridus (Solenostemon scutellariodes),"sun, partial sun, shade",6.00
Loblolly Pine,0,Pinus taeda,sun,6.00
Red Tip Photinia,0,Photinia x fraseri,"sun, partial sun",6.00
American Beech,0,Fagus grandifolia,"sun, partial sun, shade",6.00
Slash Pine,0,Pinus elliottii,sun,6.00
Citrus,0,Citrus spp.,"sun, partial sun",6.00
Hostas or Plantain Lilies,0,Hosta spp.,"partial sun, shade",6.00
Pineapple Guava,0,Feijoa sellowiana (Acca sellowiana),"sun, partial sun",6.00
Yellow Flag,0,Iris pseudacorus,"sun, partial sun, shade",5.40
Petunia,0,Petunia x hybrida,"sun, partial sun",5.21
